	analysis_name	metric	pvalue	pseudo-F
0	Zebra:0.0-Rarefy10k	aitchison	0.001	2.5770144809833933
1	Zebra:0.0-Rarefy100k	aitchison	0.001	2.6823768412346434
2	Zebra:0.0-Rarefy500k	aitchison	0.003	1.9946531121351576
3	Zebra:0.05-Rarefy10k	aitchison	0.001	2.6525972662373576
4	Zebra:0.05-Rarefy100k	aitchison	0.001	2.8702811944753996
5	Zebra:0.05-Rarefy500k	aitchison	0.001	2.2347431648652423
6	Zebra:0.1-Rarefy10k	aitchison	0.001	2.684545705585557
7	Zebra:0.1-Rarefy100k	aitchison	0.001	2.953374659332517
8	Zebra:0.1-Rarefy500k	aitchison	0.001	2.2279969721860464
9	Zebra:0.15-Rarefy10k	aitchison	0.001	2.6270611315048322
10	Zebra:0.15-Rarefy100k	aitchison	0.001	2.9636543717357804
11	Zebra:0.15-Rarefy500k	aitchison	0.001	2.2502731080324603
12	Zebra:0.2-Rarefy10k	aitchison	0.001	2.6336528661893603
13	Zebra:0.2-Rarefy100k	aitchison	0.001	2.8999439443402157
14	Zebra:0.2-Rarefy500k	aitchison	0.001	2.220877241767551
15	Zebra:0.25-Rarefy10k	aitchison	0.001	2.7425681536656823
16	Zebra:0.25-Rarefy100k	aitchison	0.001	3.0202296033477305
17	Zebra:0.25-Rarefy500k	aitchison	0.002	2.233921000764771
18	Zebra:0.3-Rarefy10k	aitchison	0.001	2.5878187891905258
19	Zebra:0.3-Rarefy100k	aitchison	0.001	2.8835133178372585
20	Zebra:0.3-Rarefy500k	aitchison	0.002	2.2173535293317586
21	Zebra:0.35-Rarefy10k	aitchison	0.001	2.6973722176472505
22	Zebra:0.35-Rarefy100k	aitchison	0.001	3.00177527957738
23	Zebra:0.35-Rarefy500k	aitchison	0.002	2.2144617145524155
24	Zebra:0.4-Rarefy10k	aitchison	0.001	2.776618945466373
25	Zebra:0.4-Rarefy100k	aitchison	0.001	3.0158428389285126
26	Zebra:0.4-Rarefy500k	aitchison	0.001	2.23883659601619
27	Zebra:0.45-Rarefy10k	aitchison	0.001	2.8092036064059114
28	Zebra:0.45-Rarefy100k	aitchison	0.001	3.0694238120104593
29	Zebra:0.45-Rarefy500k	aitchison	0.001	2.2325737407437076
30	Zebra:0.5-Rarefy10k	aitchison	0.001	2.6722175259970884
31	Zebra:0.5-Rarefy100k	aitchison	0.001	3.0273819788075502
32	Zebra:0.5-Rarefy500k	aitchison	0.001	2.2518845694570215
33	Zebra:0.55-Rarefy10k	aitchison	0.001	2.6841499415452894
34	Zebra:0.55-Rarefy100k	aitchison	0.001	3.066983720066791
35	Zebra:0.55-Rarefy500k	aitchison	0.002	2.234127687324927
36	Zebra:0.6-Rarefy10k	aitchison	0.001	2.7652608429455507
37	Zebra:0.6-Rarefy100k	aitchison	0.001	3.104025265618937
38	Zebra:0.6-Rarefy500k	aitchison	0.002	2.281013145265078
39	Zebra:0.65-Rarefy10k	aitchison	0.001	2.8200718071861517
40	Zebra:0.65-Rarefy100k	aitchison	0.001	3.0748037606009366
41	Zebra:0.65-Rarefy500k	aitchison	0.001	2.2718243594739533
42	Zebra:0.7-Rarefy10k	aitchison	0.001	2.7962904366311787
43	Zebra:0.7-Rarefy100k	aitchison	0.001	3.078189151487797
44	Zebra:0.7-Rarefy500k	aitchison	0.001	2.3152284793605142
45	Zebra:0.75-Rarefy10k	aitchison	0.001	2.814277070797474
46	Zebra:0.75-Rarefy100k	aitchison	0.001	3.0654346638463728
47	Zebra:0.75-Rarefy500k	aitchison	0.001	2.481789325322191
48	Zebra:0.8-Rarefy10k	aitchison	0.001	2.7290083798557214
49	Zebra:0.8-Rarefy100k	aitchison	0.001	3.1364047941373627
50	Zebra:0.8-Rarefy500k	aitchison	0.002	2.483195005819442
51	Zebra:0.85-Rarefy10k	aitchison	0.001	2.795973770171151
52	Zebra:0.85-Rarefy100k	aitchison	0.001	3.129113884424292
53	Zebra:0.85-Rarefy500k	aitchison	0.001	2.3800296510050996
54	Zebra:0.9-Rarefy10k	aitchison	0.001	2.941758512051614
55	Zebra:0.9-Rarefy100k	aitchison	0.001	3.0947498543617256
56	Zebra:0.9-Rarefy500k	aitchison	0.001	2.4132416077708934
57	Zebra:0.95-Rarefy10k	aitchison	0.001	3.019434330617518
58	Zebra:0.95-Rarefy100k	aitchison	0.001	3.3092049422387575
59	Zebra:0.95-Rarefy500k	aitchison	0.001	2.435214629237864
60	Zebra:0.96-Rarefy10k	aitchison	0.001	3.06738172133978
61	Zebra:0.96-Rarefy100k	aitchison	0.001	3.272634245374639
62	Zebra:0.96-Rarefy500k	aitchison	0.001	2.527667806175866
63	Zebra:0.97-Rarefy10k	aitchison	0.001	3.0730343899078942
64	Zebra:0.97-Rarefy100k	aitchison	0.001	3.4083323669836085
65	Zebra:0.97-Rarefy500k	aitchison	0.001	2.720389103080686
66	Zebra:0.98-Rarefy10k	aitchison	0.001	3.5383102877500185
67	Zebra:0.98-Rarefy100k	aitchison	0.001	3.560817765609804
68	Zebra:0.98-Rarefy500k	aitchison	0.001	2.271777791841675
69	Zebra:0.99-Rarefy10k	aitchison	0.001	3.665568671654741
70	Zebra:0.99-Rarefy100k	aitchison	0.001	3.284837121835361
71	Zebra:0.99-Rarefy500k	aitchison	0.025	1.7484534730418175
72	Zebra:0.999-Rarefy10k	aitchison	0.232	1.3712384637412494
73	Zebra:0.999-Rarefy100k	aitchison	0.332	1.031322029301226
