	analysis_name	metric	pvalue	pseudo-F
0	Zebra:0.0	jaccard	0.728	0.849018547149516
1	Zebra:0.05	jaccard	0.871	0.7014297281599351
2	Zebra:0.1	jaccard	0.751	0.7540300707304424
3	Zebra:0.15	jaccard	0.79	0.722955030817839
4	Zebra:0.2	jaccard	0.793	0.7252452992914654
5	Zebra:0.25	jaccard	0.839	0.6789537824944866
6	Zebra:0.3	jaccard	0.801	0.701266325500967
7	Zebra:0.35	jaccard	0.787	0.7053670789619852
8	Zebra:0.4	jaccard	0.697	0.7743677611263016
9	Zebra:0.45	jaccard	0.69	0.782479777796338
10	Zebra:0.5	jaccard	0.652	0.8133548695192149
11	Zebra:0.55	jaccard	0.642	0.8259622300722229
12	Zebra:0.6	jaccard	0.657	0.8217896075366831
13	Zebra:0.65	jaccard	0.585	0.8783953108047119
14	Zebra:0.7	jaccard	0.605	0.8649453734700744
15	Zebra:0.75	jaccard	0.486	0.9349614281334931
16	Zebra:0.8	jaccard	0.374	1.0392937233799293
17	Zebra:0.85	jaccard	0.231	1.2553378823529266
18	Zebra:0.9	jaccard	0.169	1.3305864751815628
19	Zebra:0.95	jaccard	0.13	1.4831348192627554
20	Zebra:0.96	jaccard	0.122	1.5960932768646157
21	Zebra:0.97	jaccard	0.044	2.177858526939838
22	Zebra:0.98	jaccard	0.059	2.168662790543802
23	Zebra:0.99	jaccard	0.757	0.34581193891699924
