	analysis_name	metric	pvalue	pseudo-F
0	Zebra:0.0	jaccard	0.062	1.3920246250758133
1	Zebra:0.05	jaccard	0.005	2.1772809149795473
2	Zebra:0.1	jaccard	0.006	2.1962587891382688
3	Zebra:0.15	jaccard	0.007	2.214402548685463
4	Zebra:0.2	jaccard	0.009	2.282718717333638
5	Zebra:0.25	jaccard	0.004	2.394752027764329
6	Zebra:0.3	jaccard	0.003	2.371438644421177
7	Zebra:0.35	jaccard	0.006	2.3460205732277957
8	Zebra:0.4	jaccard	0.016	1.96532670016632
9	Zebra:0.45	jaccard	0.027	1.8977526018491522
10	Zebra:0.5	jaccard	0.023	1.9934745972097347
11	Zebra:0.55	jaccard	0.015	1.892682109144386
12	Zebra:0.6	jaccard	0.011	1.9338951690584256
13	Zebra:0.65	jaccard	0.013	1.947933111198719
14	Zebra:0.7	jaccard	0.018	1.9904592587178496
15	Zebra:0.75	jaccard	0.065	1.6353728654145496
16	Zebra:0.8	jaccard	0.049	1.6788390614077895
17	Zebra:0.85	jaccard	0.158	1.3631449570539926
18	Zebra:0.9	jaccard	0.147	1.3832757145727677
19	Zebra:0.95	jaccard	0.142	1.4378298398825236
20	Zebra:0.96	jaccard	0.262	1.2509254686213884
21	Zebra:0.97	jaccard	0.415	1.0272222703219736
22	Zebra:0.98	jaccard	0.215	1.421012944943951
23	Zebra:0.99	jaccard	0.132	1.898253328857898
24	Zebra:0.999	jaccard	0.001	
