	analysis_name	metric	pvalue	pseudo-F
0	Zebra:0.0-Rarefy10k	jaccard	0.001	1.9151352489318325
1	Zebra:0.0-Rarefy100k	jaccard	0.001	1.7896224272525445
2	Zebra:0.0-Rarefy500k	jaccard	0.002	1.7483606875858795
3	Zebra:0.05-Rarefy10k	jaccard	0.001	2.2225399146505755
4	Zebra:0.05-Rarefy100k	jaccard	0.002	2.351017903813577
5	Zebra:0.05-Rarefy500k	jaccard	0.001	2.533889922711475
6	Zebra:0.1-Rarefy10k	jaccard	0.003	2.2500922775709453
7	Zebra:0.1-Rarefy100k	jaccard	0.005	2.1210037290263126
8	Zebra:0.1-Rarefy500k	jaccard	0.001	2.6394795455835407
9	Zebra:0.15-Rarefy10k	jaccard	0.002	2.160964598794662
10	Zebra:0.15-Rarefy100k	jaccard	0.002	2.3847131111919393
11	Zebra:0.15-Rarefy500k	jaccard	0.002	2.766750826103816
12	Zebra:0.2-Rarefy10k	jaccard	0.002	2.017363921375252
13	Zebra:0.2-Rarefy100k	jaccard	0.003	2.1914113783352756
14	Zebra:0.2-Rarefy500k	jaccard	0.004	2.5338371491264255
15	Zebra:0.25-Rarefy10k	jaccard	0.001	2.3461851644622707
16	Zebra:0.25-Rarefy100k	jaccard	0.001	2.399903406716909
17	Zebra:0.25-Rarefy500k	jaccard	0.002	2.6976040616005243
18	Zebra:0.3-Rarefy10k	jaccard	0.003	2.0987869681046774
19	Zebra:0.3-Rarefy100k	jaccard	0.002	2.291976334082713
20	Zebra:0.3-Rarefy500k	jaccard	0.004	2.5499074992698816
21	Zebra:0.35-Rarefy10k	jaccard	0.002	2.214261535301142
22	Zebra:0.35-Rarefy100k	jaccard	0.003	2.463590386782703
23	Zebra:0.35-Rarefy500k	jaccard	0.006	2.3663451536643034
24	Zebra:0.4-Rarefy10k	jaccard	0.001	2.6091229035384855
25	Zebra:0.4-Rarefy100k	jaccard	0.004	2.4628014003961654
26	Zebra:0.4-Rarefy500k	jaccard	0.003	2.3283155749121827
27	Zebra:0.45-Rarefy10k	jaccard	0.001	2.536415122356264
28	Zebra:0.45-Rarefy100k	jaccard	0.001	2.905635118961602
29	Zebra:0.45-Rarefy500k	jaccard	0.01	2.2070334902728472
30	Zebra:0.5-Rarefy10k	jaccard	0.002	2.162915350553371
31	Zebra:0.5-Rarefy100k	jaccard	0.007	2.2136362986929963
32	Zebra:0.5-Rarefy500k	jaccard	0.001	2.734440146044288
33	Zebra:0.55-Rarefy10k	jaccard	0.001	2.402787069319761
34	Zebra:0.55-Rarefy100k	jaccard	0.004	2.6782122832250312
35	Zebra:0.55-Rarefy500k	jaccard	0.002	2.341510927382726
36	Zebra:0.6-Rarefy10k	jaccard	0.005	2.136831099327506
37	Zebra:0.6-Rarefy100k	jaccard	0.003	2.662899630532261
38	Zebra:0.6-Rarefy500k	jaccard	0.008	2.1990113697289786
39	Zebra:0.65-Rarefy10k	jaccard	0.001	2.6413930597940825
40	Zebra:0.65-Rarefy100k	jaccard	0.002	2.6055793114971166
41	Zebra:0.65-Rarefy500k	jaccard	0.001	2.661853254309446
42	Zebra:0.7-Rarefy10k	jaccard	0.003	2.443762832737257
43	Zebra:0.7-Rarefy100k	jaccard	0.005	2.595185068072638
44	Zebra:0.7-Rarefy500k	jaccard	0.004	2.592389545206822
45	Zebra:0.75-Rarefy10k	jaccard	0.001	2.873905153405526
46	Zebra:0.75-Rarefy100k	jaccard	0.006	2.39161626709199
47	Zebra:0.75-Rarefy500k	jaccard	0.003	2.8336383085006758
48	Zebra:0.8-Rarefy10k	jaccard	0.002	2.405463053786416
49	Zebra:0.8-Rarefy100k	jaccard	0.002	2.61681123179319
50	Zebra:0.8-Rarefy500k	jaccard	0.004	2.598028170314414
51	Zebra:0.85-Rarefy10k	jaccard	0.001	2.5654515366211412
52	Zebra:0.85-Rarefy100k	jaccard	0.015	2.0934766896746204
53	Zebra:0.85-Rarefy500k	jaccard	0.036	1.8562261186237203
54	Zebra:0.9-Rarefy10k	jaccard	0.001	2.779266872365023
55	Zebra:0.9-Rarefy100k	jaccard	0.006	2.22222771780691
56	Zebra:0.9-Rarefy500k	jaccard	0.086	1.500001302187376
57	Zebra:0.95-Rarefy10k	jaccard	0.007	2.507787326858337
58	Zebra:0.95-Rarefy100k	jaccard	0.094	1.5588611266897439
59	Zebra:0.95-Rarefy500k	jaccard	0.688	0.7645358282656166
60	Zebra:0.96-Rarefy10k	jaccard	0.002	2.5478729102092372
61	Zebra:0.96-Rarefy100k	jaccard	0.255	1.2141466014970652
62	Zebra:0.96-Rarefy500k	jaccard	0.202	1.3598416653903416
63	Zebra:0.97-Rarefy10k	jaccard	0.01	2.2483067915795245
64	Zebra:0.97-Rarefy100k	jaccard	0.003	2.7789362491758918
65	Zebra:0.97-Rarefy500k	jaccard	0.158	1.5077442080647696
66	Zebra:0.98-Rarefy10k	jaccard	0.001	3.452944325670269
67	Zebra:0.98-Rarefy100k	jaccard	0.013	2.441054474107591
68	Zebra:0.98-Rarefy500k	jaccard	0.234	1.4108296129554272
69	Zebra:0.99-Rarefy10k	jaccard	0.027	2.307775706367554
70	Zebra:0.99-Rarefy100k	jaccard	0.033	2.448568636867302
71	Zebra:0.99-Rarefy500k	jaccard	0.295	1.3478026805417571
72	Zebra:0.999-Rarefy10k	jaccard	0.001	
73	Zebra:0.999-Rarefy100k	jaccard	0.001	
