	analysis_name	metric	pvalue	pseudo-F
0	Zebra:0.0	jaccard	0.037	1.538941723546725
1	Zebra:0.05	jaccard	0.02	1.8568799698010776
2	Zebra:0.1	jaccard	0.015	1.909524120784207
3	Zebra:0.15	jaccard	0.014	1.9063756419170408
4	Zebra:0.2	jaccard	0.015	1.9374395170098764
5	Zebra:0.25	jaccard	0.011	1.9556667360131248
6	Zebra:0.3	jaccard	0.021	1.8516373750363413
7	Zebra:0.35	jaccard	0.011	1.8861261492040633
8	Zebra:0.4	jaccard	0.011	1.8990049746856639
9	Zebra:0.45	jaccard	0.018	1.9139596745148943
10	Zebra:0.5	jaccard	0.019	1.8926168635030503
11	Zebra:0.55	jaccard	0.023	1.9167496121109335
12	Zebra:0.6	jaccard	0.017	1.9484088220776166
13	Zebra:0.65	jaccard	0.02	1.9619182988474309
14	Zebra:0.7	jaccard	0.018	1.947658431832044
15	Zebra:0.75	jaccard	0.009	1.963578451701866
16	Zebra:0.8	jaccard	0.017	1.996881445138216
17	Zebra:0.85	jaccard	0.019	1.9845480247759788
18	Zebra:0.9	jaccard	0.017	2.092767688329174
19	Zebra:0.95	jaccard	0.02	2.0158624866640857
20	Zebra:0.96	jaccard	0.036	1.8993926730559965
21	Zebra:0.97	jaccard	0.078	1.7103516053326069
22	Zebra:0.98	jaccard	0.082	1.7491010192812293
23	Zebra:0.99	jaccard	0.217	1.3440170453135205
24	Zebra:0.999	jaccard	0.821	0.15634180836747302
