	analysis_name	metric	pvalue	pseudo-F
0	Zebra:0.0	jaccard	0.001	3.3274860065668843
1	Zebra:0.05	jaccard	0.001	4.700955064462433
2	Zebra:0.1	jaccard	0.001	4.944150155664795
3	Zebra:0.15	jaccard	0.001	5.00986812016435
4	Zebra:0.2	jaccard	0.001	5.108467211730035
5	Zebra:0.25	jaccard	0.001	5.191007116673081
6	Zebra:0.3	jaccard	0.001	4.6877230702370944
7	Zebra:0.35	jaccard	0.001	4.7790805814040205
8	Zebra:0.4	jaccard	0.001	4.763739493816582
9	Zebra:0.45	jaccard	0.001	4.8151306830143525
10	Zebra:0.5	jaccard	0.001	4.838547121522609
11	Zebra:0.55	jaccard	0.001	4.986731099573947
12	Zebra:0.6	jaccard	0.001	5.101728632342701
13	Zebra:0.65	jaccard	0.001	5.084819213075286
14	Zebra:0.7	jaccard	0.001	5.079391710041859
15	Zebra:0.75	jaccard	0.001	4.838218029256168
16	Zebra:0.8	jaccard	0.001	4.8810803409474675
17	Zebra:0.85	jaccard	0.001	4.740877105906221
18	Zebra:0.9	jaccard	0.001	4.734111815974664
19	Zebra:0.95	jaccard	0.001	3.919510168522502
20	Zebra:0.96	jaccard	0.002	3.7989295086378068
21	Zebra:0.97	jaccard	0.006	2.8478271076238584
22	Zebra:0.98	jaccard	0.007	2.68202022033962
23	Zebra:0.99	jaccard	0.164	1.479459008476864
24	Zebra:0.999	jaccard	0.577	0.7019060933122158
